productId,name,gender,category,articleType,color,season,usage,price
15970,Turtle Check Men Navy Blue Shirt,Men,top,Shirts,blue,Fall,Casual,40
39386,Peter England Men Party Blue Jeans,Men,bottom,Jeans,blue,Summer,Casual,33
59263,Titan Women Silver Watch,Women,accessory,Watches,silver,Winter,Casual,18
21379,Manchester United Men Solid Black Track Pants,Men,bottom,Track Pants,black,Fall,Casual,53
53759,Puma Men Grey T-shirt,Men,top,Tshirts,grey,Summer,Casual,28
1855,Inkfruit Mens Chain Reaction T-shirt,Men,top,Tshirts,grey,Summer,Casual,27
30805,Fabindia Men Striped Green Shirt,Men,top,Shirts,green,Summer,Ethnic,27
26960,Jealous 21 Women Purple Shirt,Women,top,Shirts,purple,Summer,Casual,24
29114,Puma Men Pack of 3 Socks,Men,top,Socks,blue,Summer,Casual,43
30039,Skagen Men Black Watch,Men,accessory,Watches,black,Winter,Casual,28
9204,Puma Men Future Cat Remix SF Black Casual Shoes,Men,shoes,Casual Shoes,black,Summer,Casual,93
48123,Fossil Women Black Huarache Weave Belt,Women,accessory,Belts,black,Summer,Casual,26
18653,Fila Men Cush Flex Black Slippers,Men,shoes,Flip Flops,black,Fall,Casual,87
47957,Murcia Women Blue Handbag,Women,accessory,Handbags,blue,Summer,Casual,69
46885,Ben 10 Boys Navy Blue Slippers,Boys,shoes,Flip Flops,blue,Fall,Casual,52
12369,Reid & Taylor Men Check Purple Shirts,Men,top,Shirts,purple,Fall,Formal,20
29928,Police Men Black Dial Watch PL12889JVSB,Men,accessory,Watches,black,Winter,Casual,26
42419,Gini and Jony Girls Knit White Top,Girls,top,Tops,white,Summer,Casual,26
51832,Bwitch Beige Full-Coverage Bra BW335,Women,top,Bra,beige,Summer,Casual,27
47359,Baggit Women Brown Handbag,Women,accessory,Handbags,brown,Summer,Casual,79
17429,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223,Men,accessory,Watches,black,Winter,Casual,18
12967,ADIDAS Men Spry M Black Sandals,Men,shoes,Sandals,black,Fall,Casual,85
6842,Timberland Unisex Rubber Sole Brush Shoe Accessories,Unisex,shoes,Shoe Accessories,black,Summer,Casual,62
13089,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,Men,top,Sweatshirts,grey,Fall,Sports,42
