productId,name,gender,category,articleType,color,season,usage,price
15970,Turtle Check Men Shirt,Men,top,Shirts,blue,Fall,Casual,40
39386,Peter England Men Party Jeans,Men,bottom,Jeans,blue,Summer,Casual,33
59263,Titan Women Watch,Women,accessory,Watches,silver,Winter,Casual,18
21379,Manchester United Men Solid Track Pants,Men,bottom,Track Pants,black,Fall,Casual,53
53759,Puma Men T-Shirt,Men,top,Tshirts,grey,Summer,Casual,28
1855,Inkfruit Mens Chain Reaction T-Shirt,Men,top,Tshirts,grey,Summer,Casual,27
30805,Fabindia Men Striped Shirt,Men,top,Shirts,green,Summer,Ethnic,27
26960,Jealous 21 Women Shirt,Women,top,Shirts,purple,Summer,Casual,24
29114,Puma Men Pack Of 3 Socks,Men,top,Socks,blue,Summer,Casual,43
30039,Skagen Men Watch,Men,accessory,Watches,black,Winter,Casual,28
9204,Puma Men Future Cat Remix Sf Casual Shoes,Men,shoes,Casual Shoes,black,Summer,Casual,93
48123,Fossil Women Huarache Weave Belt,Women,accessory,Belts,black,Summer,Casual,26
18653,Fila Men Cush Flex Slippers,Men,shoes,Flip Flops,black,Fall,Casual,87
47957,Murcia Women Handbag,Women,accessory,Handbags,blue,Summer,Casual,69
46885,Ben 10 Boys Slippers,Boys,shoes,Flip Flops,blue,Fall,Casual,52
12369,Reid & Taylor Men Check Shirts,Men,top,Shirts,purple,Fall,Formal,20
29928,Police Men Dial Watch Pl12889Jvsb,Men,accessory,Watches,black,Winter,Casual,26
42419,Gini And Jony Girls Knit Top,Girls,top,Tops,white,Summer,Casual,26
51832,Bwitch Full-Coverage Bra Bw335,Women,top,Bra,beige,Summer,Casual,27
47359,Baggit Women Handbag,Women,accessory,Handbags,brown,Summer,Casual,79
17429,Casio G-Shock Men Digital Watch G-7710-1Dr G223,Men,accessory,Watches,black,Winter,Casual,18
12967,Adidas Men Spry M Sandals,Men,shoes,Sandals,black,Fall,Casual,85
6842,Timberland Unisex Rubber Sole Brush Shoe Accessories,Unisex,shoes,Shoe Accessories,black,Summer,Casual,62
13089,Adidas Men Lfc Auth Hood Sweatshirts,Men,top,Sweatshirts,grey,Fall,Sports,42
18461,David Beckham Signature Men Deos,Men,top,Deodorant,white,Spring,Casual,40
